Screen_Name,Tweet_Text,Follower_Count 
b'ZnoneoftheAbove',"b""RT @Cleavon_MD: He was found to have #COVID by the medical examiner. He likely had a PE due to COVID. However, if you're not admitted to th\xe2\x80\xa6""",1578
b'PhishEdu',"b'Since we\xe2\x80\x99re talking about Phish, Philosophy, &amp; mortality: If you\xe2\x80\x99re outside of academia, you might be surprised to\xe2\x80\xa6 https://t.co/pdsqo4AsMg'",1899
b'QuareFellas',b'RT @davidmweissman: @TomiLahren Exhibit A on why you trust the medical experts over pundits when it comes to understanding #COVID.',12305
b'rembrandt_1981',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',2026
b'GlynnShannon',b'RT @David_Leavitt: #COVID cases in Canada are down 82% from their peak.\n\n#COVID\xe3\x83\xbc19  cases in Italy are down 97% from their peak.\n\n#CoronaVi\xe2\x80\xa6',214
b'_RonnieReed',b'RT @juniordrblog: Hate to be that guy but:\n\nUS #COVID deaths/ million: 417\n\nUK #COVID deaths/ million: 678',338
b'Life_Is_Fish',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',1921
b'mmelyssmarie',b'I hope the this administration is stocking up on soap for all the additional blood they\xe2\x80\x99re going to have to wash of\xe2\x80\xa6 https://t.co/L7P6Uw1rCn',58
b'InconvenientTr5',b'@jonfavs In an ideal scenario \nthe #POTUS  &amp;  *WORST* Human Being in the World would be Two (2) DIFFERENT People.\xe2\x80\xa6 https://t.co/ZGayoGJJdN',527
b'Life_Is_Fish',"b""RT @Cleavon_MD: He was found to have #COVID by the medical examiner. He likely had a PE due to COVID. However, if you're not admitted to th\xe2\x80\xa6""",1921
b'Sheilaferguso13',"b'RT @juliefrances61: I\xe2\x80\x99d like to invite @BetsyDeVosED to return to work with me August 3 as I prepare for the unknown, &amp; continue as I welco\xe2\x80\xa6'",134
b'rhp7',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",136
b'michelemg5',b'RT @Cleavon_MD: \xf0\x9f\xa7\xb5This thread is dedicated to the countless Essential Workers in America that died from #COVID due to lack of #PPE. The UNSU\xe2\x80\xa6',70
b'WritersVideo',b'Why making #vaccine for #coronavirus is tough and Did china made the virus in lab? Explained in Telugu.\xe2\x80\xa6 https://t.co/LSatPooXLT',0
b'KevinAn80930458',"b'RT @BluesClown: .@joerogan just said Covid-19 is a man-made disease, citing @BretWeinstein \xf0\x9f\x99\x8c I appreciate these men so much for having the\xe2\x80\xa6'",153
b'Life_Is_Fish',"b'RT @Cleavon_MD: Now we know that #COVID causes coagulation abnormalities resulting in pulmonary embolisms, strokes, cardiac arrests and DVT\xe2\x80\xa6'",1921
b'AnydalyAmy',b'RT @sazzygram3: I think my heart just broke. A ER charge nurse friend told me that the way Covid is being handled she feels disposable. Man\xe2\x80\xa6',37
b'stockguy61',"b""RT @Hotpage_News: Trump's blame game as virus spreads out of control - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic\xe2\x80\xa6""",20040
b'harshathinks',b'RT @DrChrisNicholas: Once in a lifetime views of Niagara Falls \xf0\x9f\x99\x8c\xf0\x9f\x9a\x81\n\nGot free reign to fly in the restricted airspace since #COVID shutdown c\xe2\x80\xa6',142
b'FthisInsanity',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",2031
b'Alpha_57',"b""RT @CasaDelAngel: @Alpha_57 COVID IS FINISHED!\n\xe2\x9e\x96New Heated air filter traps, \xe2\x9e\x96Kills #COVID-19 Instantly!\nLet's see what Fauci and the CDC s\xe2\x80\xa6""",22260
b'ZQQMOutToTruth',b'Perhaps the #coronavirus was created as a smokescreen to distract us all from the coming takedown of all the child\xe2\x80\xa6 https://t.co/kEJlgqhipK',457
b'mintshows',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",551
b'Life_Is_Fish',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",1921
b'cunningham_cch',"b'RT @Kon__K: Back on April 6, the @ASRC1 was urging Morrison Gov to act urgently to avoid the risk of #COVID19 outbreak in immigration deten\xe2\x80\xa6'",2141
b'sylviapataki',"b""RT @GeoRebekah: If any current #COVID patients want to speak out, the folks at @NewDay are looking for voices avoid Florida's surging cases\xe2\x80\xa6""",408
b'ohrebeca',"b'RT @LawrenceGostin: I\'m often asked, ""how long will #COVID last?"" Until now I didn\'t have a clue, but I think it\'s getting obvious. Pandemi\xe2\x80\xa6'",61
b'rojas777_rojas',"b""RT @GeoRebekah: If any current #COVID patients want to speak out, the folks at @NewDay are looking for voices avoid Florida's surging cases\xe2\x80\xa6""",392
b'AlissaRozner',"b""RT @Cleavon_MD: Lastly, @dougducey failed #Arizona. I don't know how HE sleep at night, while ESSENTIAL WORKERS are bathed in #COVID with n\xe2\x80\xa6""",2582
b'OldUnclePunch',b'RT @Cartoon4sale: Brian Adcock on #DonaldTrump #facemasks The big orange bell-end has done another u-turn. #COVID #Trump2020 #WABDOD #ToryL\xe2\x80\xa6',4245
b'ddchandanabng',"b'RT @COVIDNewsByMIB: #IndiaFightsCorona:\n\n\xf0\x9f\x93\x8dSteps to take when #COVID cases occur in offices\n\n\xe2\x9e\xa1\xef\xb8\x8fIn general, staff showing flu-like illness sh\xe2\x80\xa6'",2395
b'martycan1',b'RT @FINALLEVEL: NOW dude puts on a Mask\xe2\x80\xa6 After  all his cult members are in the hospital\xe2\x80\xa6 smh   #Covid',1919
b'teamsterr07',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',4150
b'Anansi2020',b'RT @sazzygram3: I think my heart just broke. A ER charge nurse friend told me that the way Covid is being handled she feels disposable. Man\xe2\x80\xa6',1251
b'MevansE',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",57
b'PatsFan876',b'RT @BrutalPublicist: This is how Trump works. He protects scumbags like Roger Stone &amp; trashes honorable people like Robert Mueller and his\xe2\x80\xa6',2943
b'indianpoliti',"b'RT @the_hindu: Biocon\xe2\x80\x99s #COVID-19 drug tested on too few patients to reliably conclude on benefits, say experts https://t.co/Rg0wkmhXBb'",131
b'BPeregrinos',b'The pilgrim office of Santiago de Compostela is re-opened from July-1st. #covid-2019 #CaminodeSantiago',178
b'crusader4US',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',5526
b'rxbun',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",1771
b'foobula',b'Dimming hopes for #COVID immunity https://t.co/mniN3HhuUF',135
b'GinadeMiranda2',"b'RT @paulajean2020: This virus has changed the way we live, and as awful as it can be, we must do what needs to be done. #COVID spread is hi\xe2\x80\xa6'",1046
b'JBax52',b'RT @JaniceGW: LOL!  Diversion won\xe2\x80\x99t make Covid go away!  #covid #CorruptGOP #DeSantisResign',2145
b'TPE_connect',b'Novel coronavirus can remain airborne in enclosed spaces for at least 16 hours after patients breathe it out....\xe2\x80\xa6 https://t.co/AG4kQjlOQE',1121
b'simplysewn',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',238
b'Cath3rineLSJ',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',6877
b'jazzwoman1',"b'RT @colleenkingd: @davidaxelrod Yes he does, now Dr. Fauci should resign and join the @JoeBiden campaign!\n#COVID'",615
b'GAEscobarMD',b'@CarlosdelRio7 @TheAtlantic Nice explanation/analysis of the rise in cases and decline in deaths in #COVID. \nQuick\xe2\x80\xa6 https://t.co/NMGdV2UpAY',927
b'NaomiKritzer',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",5280
b'thebeachchicken',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",24
b'BerryEggs',"b'RT @Lisalisejam: #NYC strong. &lt;3 &lt;3&lt;3 I was riding the subway and in my old hood  a little week ago, woodside, Queens right by Elmhurst, &amp;\xe2\x80\xa6'",144
b'Kvault12',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",199
b'HYHUTriangle',"b'RT @DoctorZada: This timely collection of articles regarding #Covid, including ours from @TheJNS editorial board, is now available in the l\xe2\x80\xa6'",6491
b'YawarNazirMir',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",653
b'willysgrammy',b'RT @Marlene45MAGA: \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 \n#FlattenTheCurve? Does anyone believe we will ever know the truth about #coronavirus and #COVID? \n#M45MP https://t.\xe2\x80\xa6',19891
b'starlightgeek',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",4527
b'9_BulletPoints',b'RT @sazzygram3: I think my heart just broke. A ER charge nurse friend told me that the way Covid is being handled she feels disposable. Man\xe2\x80\xa6',1012
b'DrStacyMD',"b""Folks, please don't get too comfortable. This virus is still very real. My condolences to the family of this child.\xe2\x80\xa6 https://t.co/ljetIcXhGG""",31
b'GodessofChaos71',b'RT @gigiwarriorgirl: @unrooolie For anyone wondering about how serious Florida is taking #covid. \xf0\x9f\x99\x84 SMH',2203
b'serial54',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fparents dead from child\n Dr. Ivan Melendez describes scenes in #Texas similar to the NYC pandemic, ""warehouses of human b\xe2\x80\xa6'",2588
b'Hooplaoly',"b'RT @bridget123goooo: #Covid is still killing ppl whether strong or weak, young or old, a Democrat or a Republican.\n\nIn this article, a gift\xe2\x80\xa6'",2942
b'comments_007',b'RT @YourAnonDiv: The U.S has failed you. We are so sorry. \n\n#floridacovid #Florida #Anonymous #Covid https://t.co/wxGrMCzb4c',623
b'jenowago',b'RT @VincentRK: The Midwest is taking off. Be careful everyone. See individual states below. \n\nWe were never a big hotspot. We could get hit\xe2\x80\xa6',64
b'mailmandave10',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",20
b'oheraldogoa',b'40 yr pld #COVID survivor becomes #Gia s first plasma donor. Today in @oheraldogoa\n\nhttps://t.co/t1rAvpvgxv',13721
b'YoursINegritude',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",349
b'69Bacardi69',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',486
b'serial54',b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 45 \nKaren Kolb Sehlke from #Texas believed the pandemic was a \xe2\x80\x9cmedia driven\xe2\x80\x9d hoax. 2 weeks later she died from #C\xe2\x80\xa6',2588
b'YoursINegritude',"b'RT @Cleavon_MD: Now we know that #COVID causes coagulation abnormalities resulting in pulmonary embolisms, strokes, cardiac arrests and DVT\xe2\x80\xa6'",349
b'courtmcghee',b'RT @Cleavon_MD: \xf0\x9f\xa7\xb5This thread is dedicated to the countless Essential Workers in America that died from #COVID due to lack of #PPE. The UNSU\xe2\x80\xa6',4
b'toosnoozy',b'RT @Cleavon_MD: \xf0\x9f\xa7\xb5This thread is dedicated to the countless Essential Workers in America that died from #COVID due to lack of #PPE. The UNSU\xe2\x80\xa6',538
b'YoursINegritude',"b""RT @Cleavon_MD: He was found to have #COVID by the medical examiner. He likely had a PE due to COVID. However, if you're not admitted to th\xe2\x80\xa6""",349
b'YoursINegritude',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',349
b'kellyclloyd',b'RT @jedipadmaster: Nuff said....\n\n *not my district or state.  #ReopeningSchools #COVID https://t.co/0fJI62m3On',61
b'daryad59',"b""RT @GeoRebekah: If any current #COVID patients want to speak out, the folks at @NewDay are looking for voices avoid Florida's surging cases\xe2\x80\xa6""",250
b'suhaibsayeed',"b'RT @rha_india: Hey @thevirdas &amp; @one_by_two, we are a 0 funds volunteer org working towards ending world hunger. During this pandemic, we a\xe2\x80\xa6'",208
b'MeemieScreaming',"b""RT @sazzygram3: My nurse friend with 30 yrs of experience is considering quitting. \nI really don't blame her. She says they're already bein\xe2\x80\xa6""",701
b'grapesOT',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",2600
b'nichetopia',"b'RT @WeatherChambers: Solid reporting, as always, from my former @KRCG13 colleague and fellow @Mizzou alum @willripleyCNN. The U.S. should b\xe2\x80\xa6'",107
b'ChadSwiatecki',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",110
b'GlassQube',"b'A new blog post ""What the post-pandemic enterprise will be like."" #COVID #business #coworking #BusinessContinuity \n\nhttps://t.co/8zpchIO4sk'",1142
b'blnaveen',b'RT @not_ghalib: As a recovered #COVID patient - I can confirm uselessness of Aarogya Setu - .01 cms from my wife\xe2\x80\x99s phone (her status-\xe2\x80\x9cinfec\xe2\x80\xa6',1420
b'BartWendell',"b'RT @JohnMTalmadgeMD: #Presidementia #TrumpDementiaSyndrome If you are worried that Trump\xe2\x80\x99s dementia will afford him a defense, it will not,\xe2\x80\xa6'",95
b'faazeobama',"b""RT @Cleavon_MD: I'm an Iraq War Vet. It's hard to speak out while on active duty. No soldier with #COVID symptoms should be quarantined in\xe2\x80\xa6""",129
b'VickiClementi',"b""RT @sazzygram3: My nurse friend with 30 yrs of experience is considering quitting. \nI really don't blame her. She says they're already bein\xe2\x80\xa6""",599
b'LilTristi',"b'RT @Lisalisejam: #NYC strong. &lt;3 &lt;3&lt;3 I was riding the subway and in my old hood  a little week ago, woodside, Queens right by Elmhurst, &amp;\xe2\x80\xa6'",104
b'PropesterH',b'RT @qldhealthnews: Coronavirus (#COVID-19) case update 13/07. \n\nDetailed information about COVID-19 cases in Queensland can be found here:\xe2\x80\xa6',89
b'Sunflowerx88s',"b'RT @LawrenceGostin: I\'m often asked, ""how long will #COVID last?"" Until now I didn\'t have a clue, but I think it\'s getting obvious. Pandemi\xe2\x80\xa6'",18
b'1by1Awaken',"b'RT @AlexBerenson: When hospitals deny families access to their dying relatives, everyone suffers. From a man whose father died of cancer in\xe2\x80\xa6'",2683
b'dog_in_clouds',"b'Passing through Utah, air con broke, no choice but to go to a large Toyota dealer in Provo. Between there and Salt\xe2\x80\xa6 https://t.co/1BvumAbKot'",1524
b'DonhueJohn',"b'RT @ropebelt: @DrDenaGrayson Richard Rose, 37, said in April: \xe2\x80\x9cLet\xe2\x80\x99s make this clear. I\xe2\x80\x99m not buying a mask. I\xe2\x80\x99ve made it this far by not b\xe2\x80\xa6'",214
b'Spatanavanich',b'RT @ErinSandersNP: Yes @EricTopol! But #SARSCoV2 is damaging the host both ways! #COVID19 #COVID #coronavirus https://t.co/X3g1lI8UlK',39
b'ikhwansolveig',b'RT @juniordrblog: Hate to be that guy but:\n\nUS #COVID deaths/ million: 417\n\nUK #COVID deaths/ million: 678',460
b'rantu_roy',"b'RT @himantabiswa: \xf0\x9f\x93\x8cAlert ~ 735 new #COVID ve+ cases in Assam, 400 in Guwahati alone.\n\nAwareness \xe2\x9e\xa1 Precautions \xe2\x9e\xa1 Care \xe2\x9e\xa1 Compassion ~ Key aga\xe2\x80\xa6'",163
b'mnhoque09',"b'RT @himantabiswa: \xf0\x9f\x93\x8cAlert ~ 735 new #COVID ve+ cases in Assam, 400 in Guwahati alone.\n\nAwareness \xe2\x9e\xa1 Precautions \xe2\x9e\xa1 Care \xe2\x9e\xa1 Compassion ~ Key aga\xe2\x80\xa6'",752
b'andresmazo31',b'RT @TXsharon: \xe2\x80\x9cIt may be the case that many of the U.S. frackers now heading for #bankruptcy were insolvent before #Covid-19 if environment\xe2\x80\xa6',723
b'gemluvr257',b'RT @kristyndrury: @FareedZakaria @ZekeEmanuel @POTUS failed to lead #COVID #TrumpDeathToll137K #EndTheNightmare',1842
b'anilchay',b'RT @bornTelanganite: People :\n\nAsthematic \n\nSevere pneumonia \n\nDiabetics on insulin\n\nKidney patients on dialysis \n\nHeart patients prone to\xe2\x80\xa6',2201
b'NZBystander',b'RT @democracymum: An asymptomatic woman\xe2\x80\x99s 60-second elevator trip caused a coronavirus cluster of 71 people in China but when an asymptomat\xe2\x80\xa6',4004
b'serial54',"b""RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 31 \n30wks pregnant Lolita Davis went to Roseland Community Hospital in #Illinois on Mother's Day, then returned 5\xe2\x80\xa6""",2588
b'CateHyatt',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",289
b'aliu7t',b'RT @qldhealthnews: Coronavirus (#COVID-19) case update 13/07. \n\nDetailed information about COVID-19 cases in Queensland can be found here:\xe2\x80\xa6',91
b'drcloer',"b'A recipe for corruption, indeed! #NIH #COVID #VACCINES https://t.co/zmk86MLf91'",153
b'FurmanK8',"b'RT @BluntDrJChen: In the last 150 years, scientists have doubled the average life expectancy. \n\nThink about how long you think you\xe2\x80\x99ll live.\xe2\x80\xa6'",549
b'jwhoopes2',b'RT @arungoudkag1: For all the #Covid_19 Symptoms and\nMore\xf0\x9f\x91\x89https://t.co/lFtTvGzga9\n\nSymptoms are\n#Fever\n#drycough\n#tiredness\n#cough\nCheck an\xe2\x80\xa6',20719
b'Wear_ADamnMask',b'RT @VincentRK: The Midwest is taking off. Be careful everyone. See individual states below. \n\nWe were never a big hotspot. We could get hit\xe2\x80\xa6',13
b'Peppermint_18',b'RT @rweingarten: Trump suppressed CDC report that concluded \xe2\x80\x9cfully opening schools &amp; universities remained the highest risk for the spread\xe2\x80\xa6',1224
b'dharvofficial',b'Bro how has Biden not gotten COVID? He sniffs everyone\n\n#biden #trump #trump2020 #biden2020 #JoJorgensen2020 #covid #covid19 #coronavirus',63
b'bhatti8477',b'Endia is not at good position at any front #Kashmir #LadakhBorder #COVID-19\n@SpokespersonCHN @ChinaJingXi\xe2\x80\xa6 https://t.co/VikiaYzq9G',87
b'michelekimball',b'Every single one of these leaders kicked #COVID &amp; saved lives. NZ is now down to zero cases. ZERO. This is what hap\xe2\x80\xa6 https://t.co/4nCeU3cycL',1259
b'Abhishe37096358',b'RT @atc_iitjee_neet: How to Remain Healthy  in  Corona \n\n#COVID__19 \n#Corona \n#COVID \n#IndiaFightsCorona https://t.co/f16FAyH4TI',0
b'CindyBailey3',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead corrections officer, 47\nSheila Rivera worked at Cook County jail and died from #COVID.  Because she diabetes, her br\xe2\x80\xa6'",157
b'TofurkeyJ',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",36
b'mmdtgmp',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",42
b'Jayesh92670103',"b'RT @Sanj_news: #Rajkot \nYoung doctor working in the Covid Hospital has tested #covid positive\n\nDr Krupal Agravat, resident doctor in anaest\xe2\x80\xa6'",13
b'stockguy61',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fdead at 21\nCody Lyster was a baseball player and aspiring police officer, just like his father. His dad worked on the med\xe2\x80\xa6'",20040
b'Amitabh42407772',b'How will #insurers deal with the rise in complex claims following #COVID-19 but still pay simple #claims quickly? M\xe2\x80\xa6 https://t.co/P2xsJRpvQ2',1
b'ColombiaNoFrack',b'RT @TXsharon: \xe2\x80\x9cIt may be the case that many of the U.S. frackers now heading for #bankruptcy were insolvent before #Covid-19 if environment\xe2\x80\xa6',2730
b'YoungAdventures',b'101 nights of lockdown in London - https://t.co/cgxp34bZXV #covid',15545
b'MoRunners',b'RT @ZEROCancer: Men are delaying #prostatecancer testing during the #COVID-19 pandemic. But delaying these essential tests is putting lives\xe2\x80\xa6',693
b'Beingsubhasis',"b""RT @ashoswai: This Modi's chamcha gets admitted to the best hospital in the country after getting a mild #COVID symptom - Why didn't he try\xe2\x80\xa6""",137
b'TJEstes1210',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',3462
b'ASafSaj',"b""RT @TexasVC: Today's @HoustonChron (3rd largest Sunday paper in the US) has a standalone obituary section. It is 43 pages long. #covid http\xe2\x80\xa6""",73
b'cwolpert62',b'RT @sazzygram3: I think my heart just broke. A ER charge nurse friend told me that the way Covid is being handled she feels disposable. Man\xe2\x80\xa6',370
b'ranubhogi',"b'RT @FarukFirat1987: #BREAKING: Heavy clashes now in #Romema, neighbourhood in northwest #Jerusalem, #Israel during the anti #CoronaLockdown\xe2\x80\xa6'",982
b'OTCSniper',b'$CHEK - I email them to verify the cash situation and they have cash for the rest of the year. They told me to keep\xe2\x80\xa6 https://t.co/r6jECMXcu3',841
b'saikiran_jalsa',b'RT @bornTelanganite: People :\n\nAsthematic \n\nSevere pneumonia \n\nDiabetics on insulin\n\nKidney patients on dialysis \n\nHeart patients prone to\xe2\x80\xa6',4959
b'RK67086467',b'RT @m_ludhwani: @prakkash111 @uddhavthackeray @ThaneCollector @CMOMaharashtra \n\nDear Sir #Ulhasnagar is in pathetic condition. 4200 #COVID\xe2\x80\xa6',11
b'MarketPlayer017',b'RT @FinancialXpress: World\xe2\x80\x99s first #COVID-19 vaccine! Russia\xe2\x80\x99s Sechenov University completes clinical trials of #CoronavirusVaccine https:/\xe2\x80\xa6',129
b'VikasGu14400683',"b'RT @ians_india: Veteran actor #AnupamKher (@AnupamPKher) has shared that his mother Dulari, brother #RajuKher and two other family members\xe2\x80\xa6'",36
b'LWinter67226759',b'RT @mobycat6969: Very interesting read for those on the fence post about Covid and immunity .. #COVID',1906
b'RNewsWILL',"b""RT @21stShow: Tomorrow on @21stShow, we talk with @IDPH Dir. Dr. Ngozi Ezike about the latest #COVID-19 #'s in #Illinois &amp; more. Tweet us w\xe2\x80\xa6""",497
b'DianaChic1',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',3985
b'ILNewsroom',"b""RT @21stShow: Tomorrow on @21stShow, we talk with @IDPH Dir. Dr. Ngozi Ezike about the latest #COVID-19 #'s in #Illinois &amp; more. Tweet us w\xe2\x80\xa6""",1404
b'sumanebot',"b'RT @tamilsforum: #SriLanka Police uses #COVID 19 to block #Tamils during #Mullivaikkal Remembrance Day,  #Navaly Church Bombing Remembrance\xe2\x80\xa6'",604
b'Jonatha47263513',"b'RT @Lisalisejam: #NYC strong. &lt;3 &lt;3&lt;3 I was riding the subway and in my old hood  a little week ago, woodside, Queens right by Elmhurst, &amp;\xe2\x80\xa6'",134
b'MitraEpi',b'@TWDeuley @WFrancisEsq @EricTopol @davidadorward @COVID_ICECAP @NHS_Lothian @EdinUni_MeetCIR @CSO_Scotland\xe2\x80\xa6 https://t.co/ymF7mkxusf',244
b'21stShow',"b""Tomorrow on @21stShow, we talk with @IDPH Dir. Dr. Ngozi Ezike about the latest #COVID-19 #'s in #Illinois &amp; more.\xe2\x80\xa6 https://t.co/S3zj9nD56V""",2704
b'mec_mechant',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale!\n60 y.o. John McDaniel died from #COVID after calling it a ""political ploy"" \n\nHe called the #Ohio shutdow\xe2\x80\xa6'",524
b'PolicyWonk16',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",369
b'GW441',b'RT @RealDrGina: Will the DOJ be investigating hospitals who took federal $$ for + #Covid tests &amp; CO death? \n\nEx below: 100% of 333 hospital\xe2\x80\xa6',636
b'ashtotheru',"b'RT @Cleavon_MD: \xe2\x9a\xa0\xef\xb8\x8fCautionary Tale\n\xf0\x9f\xa7\xb5 As an ER doctor, I struggle with the death of my 27 y.o. cousin Simon Press from #COVID. Early in the p\xe2\x80\xa6'",4544
b'DorisStouder2',b'RT @RealMadDadMAGA: \xf0\x9f\x92\xa5Breaking\xf0\x9f\x92\xa5\n\xf0\x9f\x92\xafReal News!\nThe Rise in #COVID Cases is 100% CDC FRAUD!\nThis is a Direct Plan to destroy us and our Presiden\xe2\x80\xa6',15874
b'ZakariaAlomChy',"b'RT @himantabiswa: \xf0\x9f\x93\x8cAlert ~ 735 new #COVID ve+ cases in Assam, 400 in Guwahati alone.\n\nAwareness \xe2\x9e\xa1 Precautions \xe2\x9e\xa1 Care \xe2\x9e\xa1 Compassion ~ Key aga\xe2\x80\xa6'",81
b'Amlaf3',b'RT @Cleavon_MD: My cousin 27 y.o. Simon Press is one of countless lives lost to #COVID due to the DENIAL of science &amp; INACTION of @realDona\xe2\x80\xa6',144
b'MPer17',"b""RT @Cleavon_MD: I'm an Iraq War Vet. It's hard to speak out while on active duty. No soldier with #COVID symptoms should be quarantined in\xe2\x80\xa6""",52
b'yesbeeyes',"b'If not for Bigger idiots as leaders and dumber people as their supporters, India would have been #1. #Covid'",820
b'deeblock847',b'RT @J_Nation06: Dear Parents:\n\nRespect science and homeschool your baby. They won\xe2\x80\x99t receive an education if they\xe2\x80\x99re dead. \n\n#COVID \n#corona\xe2\x80\xa6',4434
